,年齡層,道路型態,車種,事故型態,群
588,1,交岔路,小客車,A2,2
589,1,交岔路,小客車,A2,2
590,1,單路部分,機車,A2,1
591,2,交岔路,機車,A2,0
592,0,交岔路,機車,A2,0
593,1,交岔路,機車,A2,0
594,1,交岔路,小客車,A2,2
595,1,交岔路,機車,A2,0
596,1,交岔路,小貨車(含客、貨兩用),A2,2
597,1,交岔路,機車,A2,0
598,0,交岔路,機車,A2,0
599,1,單路部分,小客車,A2,3
600,1,單路部分,機車,A2,1
601,1,單路部分,機車,A2,1
602,0,單路部分,機車,A2,1
603,2,交岔路,小客車,A2,2
604,1,單路部分,機車,A2,1
605,1,交岔路,小客車,A2,2
606,0,交岔路,機車,A2,0
607,0,單路部分,小客車,A2,3
608,1,單路部分,機車,A2,1
609,0,交岔路,大貨車,A2,0
610,1,單路部分,大貨車,A2,1
611,1,交岔路,機車,A2,0
612,1,交岔路,機車,A2,0
613,1,交岔路,小客車,A2,2
614,0,交岔路,機車,A2,0
615,1,交岔路,小客車,A2,2
616,1,單路部分,小客車,A2,3
617,1,單路部分,機車,A2,1
618,0,單路部分,機車,A2,1
619,1,交岔路,小客車,A2,2
620,1,交岔路,小客車,A2,2
621,1,交岔路,機車,A2,0
622,1,交岔路,小客車,A2,2
623,1,交岔路,機車,A2,0
624,1,交岔路,機車,A2,0
625,2,交岔路,機車,A2,0
626,2,交岔路,小客車,A2,2
627,2,交岔路,小客車,A2,2
628,0,交岔路,機車,A2,0
629,2,交岔路,小客車,A2,2
630,1,交岔路,機車,A2,0
631,1,交岔路,機車,A2,0
632,2,交岔路,機車,A2,0
633,1,交岔路,機車,A2,0
634,1,單路部分,機車,A2,1
635,1,交岔路,機車,A2,0
636,0,交岔路,機車,A2,0
637,2,單路部分,機車,A2,1
638,2,交岔路,小客車,A2,2
639,1,交岔路,小客車,A2,2
640,1,交岔路,機車,A2,0
641,1,單路部分,小客車,A2,3
642,1,單路部分,小客車,A2,3
643,1,交岔路,小客車,A2,2
644,2,交岔路,機車,A2,0
645,1,交岔路,小客車,A2,2
646,1,交岔路,小客車,A2,2
647,0,單路部分,機車,A2,1
648,2,交岔路,小客車,A2,2
649,1,交岔路,小客車,A2,2
650,1,交岔路,小貨車(含客、貨兩用),A2,2
651,2,交岔路,小客車,A2,2
652,2,交岔路,機車,A2,0
653,1,交岔路,機車,A2,0
654,2,交岔路,機車,A2,0
655,2,交岔路,小客車,A2,2
656,2,單路部分,機車,A2,1
657,1,交岔路,機車,A2,0
658,2,交岔路,機車,A2,0
659,2,交岔路,機車,A2,0
660,1,交岔路,小客車,A2,2
661,1,單路部分,機車,A2,1
662,2,單路部分,機車,A2,1
663,1,交岔路,機車,A2,0
664,2,交岔路,,A2,0
665,0,單路部分,機車,A2,1
666,1,單路部分,機車,A2,1
667,2,交岔路,機車,A2,0
668,2,交岔路,小客車,A2,2
669,2,交岔路,機車,A2,0
670,2,交岔路,小客車,A2,2
671,1,交岔路,小客車,A2,2
672,2,交岔路,機車,A2,0
673,2,交岔路,機車,A2,0
674,1,交岔路,慢車,A2,2
675,2,交岔路,機車,A2,0
676,1,交岔路,機車,A2,0
677,1,交岔路,小客車,A2,2
678,1,交岔路,機車,A2,0
679,0,單路部分,機車,A2,1
680,1,交岔路,機車,A2,0
681,0,交岔路,慢車,A2,2
